Price_CLP,Price_UF,Price_USD,Comuna,Ubicacion,Dorms,Baths,Built Area,Total Area,Parking,id,Realtor
533850000,15000,664819,Ñuñoa,irarrazabal1856,4,4,275.0,268.0,2,8028588,Easyprop
818570000,23000,1019390,Vitacura,LasEncinas,3,2,139.0,560.0,4,7859566,Unne
160155000,4500,199446,PuenteAlto,MetroEloisaCorrea,4,3,96.0,148.0,1,10154365,Schumacher Propiedades
130000000,3653,161893,Pudahuel,Serrano,5,1,224.0,375.0,3,8238103,Unne
551645000,15500,686980,Vitacura,CarlosSabat,2,2,110.0,355.0,6,7871250,Unne
597912000,16800,744598,LasCondes,Sevendeproyectoenexclusivocondominiodecasasdesde3dormitorios,3,3,126.0,201.0,0,8034424,Easyprop
782980000,22000,975068,LoBarnechea,ComandanteMalvec/LoBarnechea,3,2,168.0,1246.0,4,11020214,Schumacher Propiedades
265145500,7450,330194,LaReina,joseArrietaconAméricoVespucio,3,2,98.0,175.0,0,7715443,Mi Llave
135000000,3793,168120,Buin,Condominiolosciruelosi,3,2,75.0,135.0,0,10446344,Unne
300000000,8429,373599,Ñuñoa,Coventry/Lic.deLasPeñas,4,2,82.0,90.0,2,9897154,Grupo Inovo
189623520,5328,236144,Maipú,Casaconstrucciónsolida3d,3,3,116.0,128.0,1,11016833,Unne
496480500,13950,618282,LaReina,Echeñique,5,3,140.0,427.0,2,9271260,Nativo Propiedades
110329000,3100,137396,PuenteAlto,88,3,1,54.0,120.0,1,8388092,Unne
395000000,11099,491905,LaReina,FranciscodeVillagra,3,2,135.0,500.0,4,9238215,Houm
711800000,20000,886426,Ñuñoa,Ricardolyon,6,4,182.0,349.0,0,8050372,Easyprop
284720000,8000,354570,LaCisterna,Sanluis,4,3,150.0,380.0,3,7601661,Houm
160155000,4500,199446,PuenteAlto,Mapulemu,3,2,75.0,142.0,1,9263381,Unne
658415000,18500,819944,Vitacura,AméricoVespucioNorte/Dra.MaríaFigueroa,3,2,167.0,220.0,0,11022617,Toro Guzmán Propiedades
122000000,3428,151930,Maipú,Maipú,3,1,91.0,138.0,1,9659499,
427080000,12000,531856,Santiago,doctorcalvomackenna9747,4,3,156.0,156.0,1,8986071,Corredores Independientes
288279000,8100,359002,SanMiguel,Granavenida/departamental,4,2,120.0,400.0,0,9691239,Mauricio Pino Propiedades
430639000,12100,536288,Colina,Condominiolosnogales/santaelena,3,3,139.0,427.0,0,5136139,Propiedades Jose Fco. Montalva y Cía. Ltda.
60000000,1686,74720,PuenteAlto,villalosapostoles,3,1,50.0,80.0,1,11016191,Mi Llave
708241000,19900,881994,LasCondes,Vaticano/flandes,4,4,192.0,192.0,4,7536046,Grupo AG Propiedades
274043000,7700,341274,Maipú,VentaCasa12DormitoriosMaipú,12,12,231.0,186.0,0,8249716,Invierte Propiedades
202863000,5700,252631,PuenteAlto,CoimbraSur//AvenidaJorgeRossOssa,4,3,122.0,136.0,1,9269359,Unne
426724100,11990,531412,Peñalolén,Avda.ElValle/Casagrande,5,4,180.0,490.0,2,9896963,Grupo Inovo
136736780,3842,170282,Maipú,ParqueSurconLagoCarreza,3,2,70.0,112.0,2,11019637,Vivanco Propiedades
236673500,6650,294737,Colina,caminoelremanso,3,3,105.0,360.0,0,9893436,Easyprop
175900000,4942,219054,PuenteAlto,PlazaMagnaOriente,4,3,120.0,170.0,2,7450685,Houm
177950000,5000,221606,Macul,SanVicentedePaul,3,2,75.0,90.0,1,7999977,Houm
143000000,4018,178082,PuenteAlto,Vizcachas,3,3,83.0,123.0,1,10734002,Movahome Corredores Integrados
403234700,11330,502160,EstaciónCentral,ObispoUmaña,6,2,122.0,350.0,2,8933560,Corredores Independientes
164425800,4620,204764,Lampa,Lampa,4,3,115.0,160.0,2,9669633,Inmobiliaria Probienes
605030000,17000,753462,SanBernardo,EizaguirreconSanAlfonso,3,4,290.0,900.0,8,6722215,Unne
240000000,6743,298879,PuenteAlto,Haciendaelpeñon/lasvizcachas,4,2,110.0,350.0,2,10435060,Acom Propiedades
1024992000,28800,1276453,LasCondes,Elremanso/sancarlosdeapoquindo,5,5,292.0,620.0,3,5716837,Foix Realty 100
255892100,7190,318670,Buin,CaminoLaCervera/PanamericanaSur,3,3,115.0,260.0,0,7256128,Mauricio Pino Propiedades
72000000,2023,89664,Maipú,TresponientecAG/aguadasur,3,1,62.0,107.0,1,9893226,Propiedades Centro Santiago SPA
180000000,5058,224159,LaFlorida,Trinidadconelamanecer,3,2,90.0,153.0,0,8671593,Unne
291838000,8200,363435,Peñalolén,Avenidaconsistorial/elvalle,4,4,139.0,295.0,1,8701832,Acom Propiedades
854160000,24000,1063711,LaReina,Loreley,5,4,240.0,600.0,7,4900127,Schumacher Propiedades
302515000,8500,376731,Maipú,AlcaldeJoseInfanteLarrainconlagodeLugano,5,3,140.0,160.0,2,11019449,Vivanco Propiedades
1210060000,34000,1506924,Providencia,ClementeFabres,16,8,600.0,907.0,0,9655114,Unne
500000000,14049,622665,Quilicura,Sanmartin/loscarrera,3,1,200.0,1300.0,10,10746219,Mauricio Pino Propiedades
119990000,3371,149427,Recoleta,Pje.Miraflores//MuñozGamero,7,3,133.0,190.0,2,7870226,Unne
288279000,8100,359002,Macul,Metrolospresidentes/brownsur/municipalidaddemacul,3,2,117.0,293.0,2,9897739,Grupo Inovo
83952000,2359,104548,PuenteAlto,Laviñayc60720/nocedal,2,1,54.0,90.0,0,9257307,Propiedades Centro Santiago SPA
139000000,3906,173101,Recoleta,RecoletaconZapadores,3,1,83.0,111.0,1,11019557,Vivanco Propiedades
150000000,4215,186800,SanBernardo,Cantonaguasblancasag-61113/av.Portalesponiente,3,3,75.0,116.0,1,9659236,Propiedades Centro Santiago SPA
211013110,5929,262781,Santiago,Sanvicentecercanoablancoencalada,4,2,125.0,143.0,0,7897594,Unne
533850000,15000,664819,SanMiguel,Metrodepartamental/sannicolas/arquimides,4,3,220.0,836.0,3,9896719,Grupo Inovo
52000000,1461,64757,PuenteAlto,VillaSanFranciscodeAsís,2,1,54.0,75.0,1,7155933,Unne
175000000,4917,217933,Conchalí,Hasparren,5,2,186.0,347.0,3,11381205,
316751000,8900,394460,LasCondes,Apoquindo,4,3,128.0,150.0,0,7009192,Vivaqui Propiedades
93000000,2613,115816,PadreHurtado,LosSilosYC55050/MadreSelva,4,2,140.0,180.0,1,5923216,Propiedades Centro Santiago SPA
317500000,8921,395392,Pudahuel,Av.ElRodeoPoniente(AG-57453)/Av.LosPozos,3,4,203.0,298.0,0,6742952,Propiedades Centro Santiago SPA
434198000,12200,540720,LaReina,Plazaegaña,4,3,206.0,460.0,1,9271239,Nativo Propiedades
188627000,5300,234903,Macul,PremioNobel3476,2,2,108.0,108.0,1,9001461,Corredores Independientes
640620000,18000,797783,LasCondes,Bellayampliacasade4denlascondes,4,3,154.0,600.0,4,8605620,Easyprop
130000000,3653,161893,Pudahuel,SanPabloPC60467/JoseManuel,4,2,89.0,101.0,1,8959025,Propiedades Centro Santiago SPA
70000000,1967,87173,PuenteAlto,Accesosur/avstarosa,3,1,70.0,75.0,1,8041740,Acom Propiedades
1420041000,39900,1768420,Vitacura,VíaEscarlata,5,6,714.0,2000.0,23,5881334,Unne
155000000,4355,193026,LaFlorida,Manutara/SanJosedelaEstrella,4,2,90.0,110.0,0,7015904,Propiedades Centro Santiago SPA
836365000,23500,1041550,LoBarnechea,JardinDelEste/ElTranque,6,5,280.0,808.0,0,6968679,Francisco Vial Propiedades
180000000,5058,224159,EstaciónCentral,5deabrilconpadreJaimeLarrain,4,3,144.0,176.0,0,9889580,Easyprop
100000000,2810,124533,PuenteAlto,Av.GabrielaOriente/LasNieves,3,1,86.0,110.0,0,9893215,Propiedades Centro Santiago SPA
125000000,3512,155666,PadreHurtado,PadreHurtado,3,2,68.0,114.0,1,9930866,
120000000,3372,149440,Pudahuel,Elpehuen,3,1,79.0,74.0,0,6321900,Unne
355900000,10000,443213,Ñuñoa,AvGreciayJoséManuelInfante,5,2,226.0,335.0,3,8117974,Acom Propiedades
1416482000,39800,1763988,LoBarnechea,panamericasurconavenidaLaDehesa,4,5,370.0,694.0,3,10173451,Easyprop
765185000,21500,952908,Talagante,CondominioPalmasdelOliveto,6,5,450.0,3000.0,10,10148284,Unne
293617500,8250,365651,Providencia,Providencia,4,1,80.0,90.0,0,8979428,Stoffel Gestión Inmobiliaria
310000000,8710,386052,Macul,Casade2pisosconoficina+7salas+7b+saladereuniones,7,7,249.0,321.0,2,11018958,Corredorpro Spa
85000000,2388,105853,SanRamón,JuanLuisSanfuentes/alpatacal,3,1,84.0,162.0,2,9990072,
80000000,2248,99626,Pudahuel,SanFrancisco/TenienteCruz,6,2,196.0,156.0,0,8767126,Propiedades Centro Santiago SPA
153037000,4300,190582,PuenteAlto,lagoRisopatrón4671,3,2,58.0,176.0,2,10435623,Arsen Propiedades
54600000,1534,67995,SanBernardo,AvenidaPadrehurtado,2,1,50.0,80.0,1,8544350,Mi Llave
49648050,1395,61828,LaFlorida,PasajeRecalada1929,2,1,50.0,60.0,0,8248690,Unne
137000000,3849,170610,Conchalí,Pasaje6,7,2,156.0,192.0,1,8209162,Unne
498260000,14000,620498,Colina,Avjoserabat10500,3,3,164.0,550.0,5,9669385,Mi Llave
150000000,4215,186800,Providencia,PropiedadComercialy/oHabitacional.BarrioItalia,3,2,91.0,149.0,0,8249113,Corretajes Prosal
434198000,12200,540720,Vitacura,Loscastaños,4,2,88.0,240.0,2,9653107,Easyprop
