Price_UF,Comuna,Dorms,Baths,Built Area,Total Area,Parking,Realtor,UF_m2,log_price,log_area
3326.0,Peñalolén,4,2,120.0,200.0,2,GRUPO INOVO PRO,27.716667,8.109526,5.2983174
17000.0,LaReina,4,3,180.0,360.0,3,Easyprop,94.44444,9.740969,5.886104
2550.0,Renca,2,1,75.0,100.0,2,Propital,34.0,7.8438487,4.6051702
3437.0,Talagante,3,3,112.0,120.0,2,GRUPO INOVO PRO,30.6875,8.142354,4.787492
3257.0,Maipú,2,1,100.0,198.0,1,Easyprop,32.57,8.088562,5.288267
3746.0,Cerrillos,4,1,91.0,106.0,1,Propital,41.164837,8.228444,4.6634393
15000.0,Ñuñoa,4,2,247.0,509.0,4,Easyprop,60.728745,9.615806,6.232448
7300.0,LasCondes,2,2,75.0,85.0,1,GRUPO INOVO PRO,97.333336,8.89563,4.4426513
3900.0,Maipú,3,3,110.0,136.0,3,Nexxos,35.454544,8.268732,4.912655
3890.0,PuenteAlto,3,3,80.0,173.0,1,Nexxos,48.625,8.266165,5.1532917
9950.0,LaFlorida,3,3,174.0,284.0,3,GRUPO INOVO PRO,57.183907,9.205328,5.6489744
26300.0,Providencia,6,5,343.0,583.0,3,GRUPO INOVO PRO,76.676384,10.177324,6.368187
2910.0,LaFlorida,3,1,89.0,158.0,2,GRUPO INOVO PRO,32.69663,7.9759083,5.062595
10532.0,SanMiguel,3,2,146.0,200.0,2,Grio Propiedades,72.136986,9.262174,5.2983174
13490.0,LasCondes,3,2,103.0,200.0,3,GRUPO INOVO PRO,130.97087,9.509704,5.2983174
11000.0,Ñuñoa,4,3,119.0,270.0,2,GRUPO INOVO PRO,92.43697,9.305651,5.598422
4300.0,Colina,3,3,90.0,215.0,3,Desconocido,47.77778,8.36637,5.370638
8800.0,Independencia,3,1,140.0,178.0,1,GRUPO INOVO PRO,62.857143,9.082507,5.1817837
7550.0,Macul,3,2,117.0,293.0,2,GRUPO INOVO PRO,64.529915,8.929303,5.6801724
5821.0,CerroNavia,6,2,224.0,160.0,2,Navacasa Propiedades,25.986607,8.669228,5.075174
4158.0,Independencia,5,2,180.0,200.0,2,Propital,23.1,8.332789,5.2983174
14000.0,LasCondes,4,4,156.0,320.0,2,GRUPO INOVO PRO,89.74359,9.546813,5.768321
8200.0,Buin,4,3,122.0,304.0,2,Desconocido,67.21311,9.011889,5.7170277
14990.0,LasCondes,4,2,160.0,200.0,1,GRUPO INOVO PRO,93.6875,9.615139,5.2983174
2716.0,Maipú,2,1,80.0,85.0,2,Desconocido,33.95,7.9069157,4.4426513
5405.0,Peñalolén,5,2,118.0,300.0,3,GRUPO INOVO PRO,45.805084,8.595079,5.7037826
4074.0,Maipú,4,2,100.0,122.0,2,Good Propiedades Ltda.,40.74,8.312381,4.804021
13600.0,LasCondes,4,4,190.0,299.0,2,GRUPO INOVO PRO,71.57895,9.517825,5.7004437
4890.0,Peñaflor,3,3,95.0,115.0,2,Desconocido,51.473682,8.494947,4.744932
11500.0,LaReina,4,3,151.0,205.0,2,GRUPO INOVO PRO,76.15894,9.350102,5.32301
4350.0,Maipú,3,3,93.0,145.0,2,GRUPO INOVO PRO,46.774193,8.377932,4.9767337
9701.0,LasCondes,3,2,78.0,183.0,2,Desconocido,124.371796,9.179984,5.209486
2772.0,PuenteAlto,3,1,54.0,108.0,1,Propital,51.333332,7.9273243,4.6821313
7678.0,Ñuñoa,4,3,135.0,220.0,3,Desconocido,56.874073,8.946115,5.3936276
11000.0,LaFlorida,3,2,140.0,440.0,2,GRUPO INOVO PRO,78.57143,9.305651,6.086775
11500.0,LasCondes,4,3,160.0,240.0,4,GRUPO INOVO PRO,71.875,9.350102,5.480639
8000.0,PadreHurtado,3,3,125.0,300.0,4,GRUPO INOVO PRO,64.0,8.987197,5.7037826
